id,strategies,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25
0,coop,12,300,320,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328
1,defect,15,517,713,901,1025,1143,1251,1361,1481,1579,1685,1783,1869,1967,2063,2179,2283,2383,2469,2547,2633,2731,2837,2931,3029,3107
2,tft,12,320,346,366,374,384,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
3,random,3,403,551,671,787,883,955,1031,1097,1165,1245,1303,1365,1425,1503,1567,1617,1683,1749,1841,1899,1967,2025,2089,2159,2229
4,tft,8,308,352,376,384,386,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398
5,defect,2,504,672,800,930,1064,1200,1322,1422,1510,1596,1708,1814,1912,1994,2096,2182,2264,2346,2436,2526,2616,2700,2790,2872,2946
6,coop,6,306,334,342,350,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
7,coop,7,315,343,363,371,375,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379
8,random,11,397,569,669,755,855,939,1031,1095,1175,1229,1301,1371,1435,1509,1551,1625,1687,1759,1819,1895,1969,2031,2097,2179,2239
9,tft,5,313,359,383,405,411,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
10,tft,22,310,354,370,376,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
11,tft,8,296,366,390,402,412,414,418,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
12,tft,5,305,371,395,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
13,tft,10,322,362,386,402,408,410,412,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416
14,random,9,395,585,717,793,873,949,1025,1087,1141,1211,1287,1357,1405,1463,1529,1579,1627,1679,1739,1799,1853,1893,1953,2025,2077
15,tft,2,302,354,370,376,378,380,382,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
16,defect,12,522,734,920,1064,1186,1306,1434,1536,1652,1766,1860,1982,2082,2182,2314,2418,2506,2608,2714,2820,2918,3020,3112,3200,3288
17,tft,6,306,356,386,396,400,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
18,random,11,393,579,693,799,887,963,1055,1115,1181,1241,1307,1383,1469,1531,1589,1645,1715,1777,1857,1917,1987,2067,2117,2197,2259
19,defect,6,516,706,868,1016,1132,1258,1380,1488,1608,1704,1824,1944,2044,2148,2252,2364,2464,2564,2676,2772,2868,2976,3074,3184,3290
20,tft,6,302,352,360,368,372,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
21,defect,10,528,726,888,1006,1112,1208,1290,1384,1482,1566,1654,1734,1800,1886,1980,2048,2130,2194,2266,2332,2386,2452,2528,2600,2660
22,random,15,421,587,721,821,903,975,1045,1125,1189,1247,1299,1351,1413,1455,1521,1589,1641,1711,1757,1811,1875,1941,2005,2061,2115
23,defect,6,524,718,874,990,1108,1234,1348,1462,1580,1678,1772,1878,1988,2102,2208,2322,2412,2514,2588,2686,2806,2906,3010,3094,3186
24,random,9,409,591,693,753,831,907,991,1059,1131,1209,1281,1365,1425,1485,1555,1631,1705,1779,1847,1909,1971,2037,2081,2119,2161
25,tft,5,309,357,383,399,417,423,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
26,tft,8,292,326,340,354,360,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364
27,tft,11,311,355,379,389,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391
28,tft,6,302,338,354,356,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
29,tft,5,313,355,373,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375
30,defect,8,518,748,898,1040,1150,1276,1384,1508,1624,1726,1816,1916,2004,2088,2184,2282,2366,2454,2538,2638,2738,2832,2908,2996,3084
31,random,8,402,630,734,844,936,1002,1072,1154,1234,1308,1384,1456,1530,1590,1660,1718,1782,1856,1916,1980,2038,2096,2164,2224,2290
32,random,6,390,568,710,796,890,950,1022,1094,1166,1234,1288,1340,1398,1456,1502,1546,1598,1646,1700,1744,1790,1834,1890,1942,1998
33,tft,4,308,360,390,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398
34,tft,10,302,328,338,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
35,coop,6,302,322,330,338,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346
36,tft,14,318,368,384,400,404,408,410,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412
37,tft,5,309,349,371,385,391,397,397,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403
38,tft,7,319,359,373,381,385,389,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391
39,tft,18,306,360,364,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
40,tft,4,312,360,384,392,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396
41,coop,4,304,336,344,352,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
42,coop,13,329,361,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369
43,tft,11,307,357,373,401,413,421,427,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
44,tft,14,314,370,382,392,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394
45,coop,9,301,321,325,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329
46,tft,3,299,341,365,371,379,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
47,tft,5,301,349,373,379,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
48,tft,5,297,347,367,381,383,385,391,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
49,tft,5,293,359,395,405,411,413,415,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417
50,tft,5,301,347,361,365,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369
51,random,5,425,589,723,835,915,1011,1089,1173,1241,1325,1387,1439,1525,1587,1657,1725,1783,1849,1909,1983,2045,2097,2151,2209,2253
52,random,6,412,572,710,798,880,956,1020,1082,1136,1178,1252,1300,1362,1422,1468,1524,1596,1662,1708,1772,1818,1860,1906,1960,2012
53,tft,6,306,376,396,402,414,416,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
54,tft,6,294,350,374,382,388,392,396,398,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
55,random,9,405,587,729,855,943,1013,1103,1161,1225,1287,1351,1423,1495,1563,1625,1713,1785,1853,1917,1987,2049,2129,2195,2255,2305
56,tft,12,308,340,356,360,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362
57,tft,9,309,381,413,423,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
58,coop,6,314,334,346,346,350,354,354,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
59,defect,6,520,712,882,1024,1132,1246,1336,1430,1528,1630,1726,1810,1906,2018,2118,2208,2318,2408,2488,2572,2660,2744,2848,2944,3036
