id,strategies,round,assets
0,coop,0,6
1,coop,0,8
2,tft,0,7
3,tft,0,6
4,random,0,8
5,random,0,7
6,coop,0,7
7,coop,0,10
8,coop,0,5
9,random,0,7
10,tft,0,9
11,random,0,5
12,random,0,6
13,tft,0,7
14,defect,0,5
15,tft,0,7
16,random,0,8
17,random,0,8
18,tft,0,6
19,coop,0,5
20,random,0,9
21,defect,0,6
22,defect,0,7
23,defect,0,8
24,random,0,7
25,random,0,6
26,coop,0,6
27,tft,0,7
28,defect,0,7
29,tft,0,6
30,tft,0,8
31,random,0,7
32,defect,0,5
33,defect,0,6
34,tft,0,9
35,tft,0,7
36,defect,0,9
37,tft,0,7
38,defect,0,8
39,coop,0,9
40,defect,0,7
41,tft,0,8
42,random,0,8
43,random,0,6
44,random,0,6
45,defect,0,6
46,random,0,6
47,coop,0,10
48,random,0,9
49,random,0,8
50,defect,0,6
51,defect,0,7
52,defect,0,5
53,tft,0,7
54,tft,0,7
55,coop,0,6
56,tft,0,6
57,tft,0,7
58,defect,0,9
59,random,0,6
60,random,0,6
61,tft,0,9
62,random,0,6
63,random,0,7
64,tft,0,8
65,tft,0,9
66,tft,0,7
67,random,0,5
68,coop,0,9
69,defect,0,5
70,random,0,7
71,defect,0,7
72,random,0,7
73,tft,0,5
74,coop,0,6
75,defect,0,8
76,random,0,8
77,tft,0,8
78,tft,0,8
79,defect,0,8
80,random,0,7
81,coop,0,6
82,tft,0,8
83,random,0,7
84,random,0,5
85,tft,0,6
86,coop,0,8
87,tft,0,8
88,coop,0,8
89,tft,0,6
90,coop,0,6
91,defect,0,7
92,coop,0,7
93,coop,0,6
94,defect,0,9
95,tft,0,6
96,coop,0,5
97,tft,0,9
98,defect,0,9
99,random,0,9
0,coop,1,258
1,coop,1,276
2,tft,1,247
3,tft,1,278
4,random,1,342
5,random,1,373
6,coop,1,259
7,coop,1,254
8,coop,1,245
9,random,1,373
10,tft,1,261
11,random,1,327
12,random,1,348
13,tft,1,263
14,defect,1,459
15,tft,1,259
16,random,1,360
17,random,1,348
18,tft,1,258
19,coop,1,253
20,random,1,329
21,defect,1,460
22,defect,1,441
23,defect,1,470
24,random,1,369
25,random,1,330
26,coop,1,238
27,tft,1,259
28,defect,1,461
29,tft,1,258
30,tft,1,260
31,random,1,345
32,defect,1,451
33,defect,1,468
34,tft,1,265
35,tft,1,263
36,defect,1,471
37,tft,1,259
38,defect,1,438
39,coop,1,253
40,defect,1,469
41,tft,1,256
42,random,1,366
43,random,1,346
44,random,1,358
45,defect,1,472
46,random,1,354
47,coop,1,258
48,random,1,363
49,random,1,368
50,defect,1,460
51,defect,1,449
52,defect,1,455
53,tft,1,255
54,tft,1,267
55,coop,1,254
56,tft,1,274
57,tft,1,267
58,defect,1,447
59,random,1,376
60,random,1,368
61,tft,1,265
62,random,1,370
63,random,1,355
64,tft,1,260
65,tft,1,273
66,tft,1,267
67,random,1,349
68,coop,1,273
69,defect,1,463
70,random,1,361
71,defect,1,469
72,random,1,373
73,tft,1,249
74,coop,1,258
75,defect,1,466
76,random,1,350
77,tft,1,260
78,tft,1,268
79,defect,1,486
80,random,1,383
81,coop,1,242
82,tft,1,256
83,random,1,341
84,random,1,369
85,tft,1,250
86,coop,1,236
87,tft,1,248
88,coop,1,264
89,tft,1,250
90,coop,1,270
91,defect,1,453
92,coop,1,255
93,coop,1,262
94,defect,1,459
95,tft,1,254
96,coop,1,245
97,tft,1,257
98,defect,1,451
99,random,1,351
0,coop,2,298
1,coop,2,292
2,tft,2,329
3,tft,2,320
4,random,2,524
5,random,2,585
6,coop,2,279
7,coop,2,286
8,coop,2,273
9,random,2,551
10,tft,2,317
11,random,2,393
12,random,2,544
13,tft,2,331
14,defect,2,709
15,tft,2,325
16,random,2,556
17,random,2,534
18,tft,2,314
19,coop,2,281
20,random,2,369
21,defect,2,702
22,defect,2,685
23,defect,2,708
24,random,2,571
25,random,2,380
26,coop,2,250
27,tft,2,319
28,defect,2,691
29,tft,2,314
30,tft,2,322
31,random,2,531
32,defect,2,705
33,defect,2,724
34,tft,2,333
35,tft,2,327
36,defect,2,713
37,tft,2,309
38,defect,2,686
39,coop,2,277
40,defect,2,719
41,tft,2,334
42,random,2,572
43,random,2,538
44,random,2,544
45,defect,2,704
46,random,2,540
47,coop,2,282
48,random,2,521
49,random,2,584
50,defect,2,684
51,defect,2,693
52,defect,2,717
53,tft,2,341
54,tft,2,327
55,coop,2,286
56,tft,2,334
57,tft,2,329
58,defect,2,651
59,random,2,560
60,random,2,598
61,tft,2,327
62,random,2,526
63,random,2,521
64,tft,2,338
65,tft,2,341
66,tft,2,323
67,random,2,579
68,coop,2,309
69,defect,2,707
70,random,2,543
71,defect,2,751
72,random,2,573
73,tft,2,311
74,coop,2,286
75,defect,2,666
76,random,2,548
77,tft,2,330
78,tft,2,326
79,defect,2,748
80,random,2,601
81,coop,2,290
82,tft,2,318
83,random,2,531
84,random,2,553
85,tft,2,300
86,coop,2,264
87,tft,2,308
88,coop,2,284
89,tft,2,308
90,coop,2,298
91,defect,2,693
92,coop,2,275
93,coop,2,286
94,defect,2,687
95,tft,2,306
96,coop,2,265
97,tft,2,313
98,defect,2,683
99,random,2,511
0,coop,3,314
1,coop,3,304
2,tft,3,361
3,tft,3,338
4,random,3,670
5,random,3,759
6,coop,3,291
7,coop,3,314
8,coop,3,289
9,random,3,667
10,tft,3,353
11,random,3,423
12,random,3,680
13,tft,3,375
14,defect,3,885
15,tft,3,345
16,random,3,714
17,random,3,658
18,tft,3,364
19,coop,3,297
20,random,3,391
21,defect,3,904
22,defect,3,883
23,defect,3,888
24,random,3,711
25,random,3,396
26,coop,3,254
27,tft,3,349
28,defect,3,883
29,tft,3,326
30,tft,3,348
31,random,3,649
32,defect,3,899
33,defect,3,928
34,tft,3,351
35,tft,3,349
36,defect,3,903
37,tft,3,325
38,defect,3,906
39,coop,3,285
40,defect,3,917
41,tft,3,360
42,random,3,736
43,random,3,690
44,random,3,692
45,defect,3,892
46,random,3,650
47,coop,3,290
48,random,3,657
49,random,3,738
50,defect,3,868
51,defect,3,895
52,defect,3,931
53,tft,3,355
54,tft,3,355
55,coop,3,302
56,tft,3,360
57,tft,3,361
58,defect,3,807
59,random,3,678
60,random,3,746
61,tft,3,351
62,random,3,646
63,random,3,665
64,tft,3,386
65,tft,3,369
66,tft,3,355
67,random,3,747
68,coop,3,321
69,defect,3,911
70,random,3,689
71,defect,3,951
72,random,3,733
73,tft,3,335
74,coop,3,302
75,defect,3,834
76,random,3,680
77,tft,3,372
78,tft,3,356
79,defect,3,956
80,random,3,757
81,coop,3,310
82,tft,3,352
83,random,3,665
84,random,3,699
85,tft,3,330
86,coop,3,264
87,tft,3,346
88,coop,3,304
89,tft,3,326
90,coop,3,310
91,defect,3,869
92,coop,3,283
93,coop,3,286
94,defect,3,863
95,tft,3,344
96,coop,3,281
97,tft,3,351
98,defect,3,877
99,random,3,621
0,coop,4,322
1,coop,4,304
2,tft,4,371
3,tft,4,350
4,random,4,804
5,random,4,883
6,coop,4,299
7,coop,4,318
8,coop,4,297
9,random,4,777
10,tft,4,359
11,random,4,445
12,random,4,788
13,tft,4,383
14,defect,4,1059
15,tft,4,367
16,random,4,844
17,random,4,782
18,tft,4,386
19,coop,4,305
20,random,4,403
21,defect,4,1074
22,defect,4,1039
23,defect,4,1028
24,random,4,827
25,random,4,410
26,coop,4,262
27,tft,4,367
28,defect,4,1037
29,tft,4,332
30,tft,4,356
31,random,4,755
32,defect,4,1075
33,defect,4,1094
34,tft,4,357
35,tft,4,355
36,defect,4,1049
37,tft,4,327
38,defect,4,1088
39,coop,4,285
40,defect,4,1097
41,tft,4,368
42,random,4,834
43,random,4,806
44,random,4,822
45,defect,4,1032
46,random,4,776
47,coop,4,290
48,random,4,769
49,random,4,868
50,defect,4,1044
51,defect,4,1087
52,defect,4,1095
53,tft,4,365
54,tft,4,363
55,coop,4,306
56,tft,4,376
57,tft,4,381
58,defect,4,953
59,random,4,776
60,random,4,878
61,tft,4,363
62,random,4,736
63,random,4,757
64,tft,4,388
65,tft,4,383
66,tft,4,369
67,random,4,871
68,coop,4,333
69,defect,4,1091
70,random,4,835
71,defect,4,1117
72,random,4,875
73,tft,4,347
74,coop,4,306
75,defect,4,990
76,random,4,804
77,tft,4,406
78,tft,4,378
79,defect,4,1116
80,random,4,869
81,coop,4,310
82,tft,4,364
83,random,4,813
84,random,4,813
85,tft,4,336
86,coop,4,264
87,tft,4,370
88,coop,4,308
89,tft,4,330
90,coop,4,314
91,defect,4,1033
92,coop,4,283
93,coop,4,294
94,defect,4,1001
95,tft,4,368
96,coop,4,285
97,tft,4,377
98,defect,4,1025
99,random,4,787
0,coop,5,326
1,coop,5,304
2,tft,5,377
3,tft,5,358
4,random,5,918
5,random,5,987
6,coop,5,303
7,coop,5,322
8,coop,5,301
9,random,5,889
10,tft,5,373
11,random,5,451
12,random,5,872
13,tft,5,399
14,defect,5,1199
15,tft,5,369
16,random,5,946
17,random,5,880
18,tft,5,398
19,coop,5,313
20,random,5,407
21,defect,5,1260
22,defect,5,1191
23,defect,5,1184
24,random,5,919
25,random,5,416
26,coop,5,262
27,tft,5,377
28,defect,5,1167
29,tft,5,332
30,tft,5,358
31,random,5,867
32,defect,5,1209
33,defect,5,1242
34,tft,5,357
35,tft,5,359
36,defect,5,1171
37,tft,5,327
38,defect,5,1250
39,coop,5,289
40,defect,5,1249
41,tft,5,370
42,random,5,938
43,random,5,924
44,random,5,936
45,defect,5,1184
46,random,5,892
47,coop,5,290
48,random,5,859
49,random,5,938
50,defect,5,1208
51,defect,5,1239
52,defect,5,1249
53,tft,5,375
54,tft,5,371
55,coop,5,306
56,tft,5,386
57,tft,5,393
58,defect,5,1123
59,random,5,860
60,random,5,998
61,tft,5,365
62,random,5,822
63,random,5,849
64,tft,5,390
65,tft,5,385
66,tft,5,375
67,random,5,983
68,coop,5,341
69,defect,5,1255
70,random,5,927
71,defect,5,1285
72,random,5,989
73,tft,5,353
74,coop,5,310
75,defect,5,1146
76,random,5,912
77,tft,5,416
78,tft,5,382
79,defect,5,1266
80,random,5,983
81,coop,5,314
82,tft,5,368
83,random,5,939
84,random,5,923
