id,strategies,round,assets
0,coop,0,12
1,defect,0,15
2,tft,0,12
3,random,0,3
4,tft,0,8
5,defect,0,2
6,coop,0,6
7,coop,0,7
8,random,0,11
9,tft,0,5
10,tft,0,22
11,tft,0,8
12,tft,0,5
13,tft,0,10
14,random,0,9
15,tft,0,2
16,defect,0,12
17,tft,0,6
18,random,0,11
19,defect,0,6
20,tft,0,6
21,defect,0,10
22,random,0,15
23,defect,0,6
24,random,0,9
25,tft,0,5
26,tft,0,8
27,tft,0,11
28,tft,0,6
29,tft,0,5
30,defect,0,8
31,random,0,8
32,random,0,6
33,tft,0,4
34,tft,0,10
35,coop,0,6
36,tft,0,14
37,tft,0,5
38,tft,0,7
39,tft,0,18
40,tft,0,4
41,coop,0,4
42,coop,0,13
43,tft,0,11
44,tft,0,14
45,coop,0,9
46,tft,0,3
47,tft,0,5
48,tft,0,5
49,tft,0,5
50,tft,0,5
51,random,0,5
52,random,0,6
53,tft,0,6
54,tft,0,6
55,random,0,9
56,tft,0,12
57,tft,0,9
58,coop,0,6
59,defect,0,6
60,random,0,8
61,tft,0,3
62,random,0,2
63,random,0,3
64,defect,0,4
65,tft,0,9
66,defect,0,6
67,random,0,4
68,tft,0,10
69,tft,0,14
70,random,0,6
71,tft,0,11
72,tft,0,10
73,random,0,10
74,tft,0,7
75,tft,0,18
76,coop,0,21
77,tft,0,9
78,tft,0,12
79,random,0,5
80,random,0,11
81,tft,0,13
82,tft,0,7
83,random,0,5
84,defect,0,11
85,coop,0,8
86,tft,0,6
87,tft,0,9
88,coop,0,6
89,coop,0,11
90,tft,0,21
91,tft,0,7
92,tft,0,7
93,coop,0,9
94,defect,0,4
95,tft,0,10
96,random,0,9
97,defect,0,2
98,tft,0,22
99,random,0,12
0,coop,1,300
1,defect,1,517
2,tft,1,320
3,random,1,403
4,tft,1,308
5,defect,1,504
6,coop,1,306
7,coop,1,315
8,random,1,397
9,tft,1,313
10,tft,1,310
11,tft,1,296
12,tft,1,305
13,tft,1,322
14,random,1,395
15,tft,1,302
16,defect,1,522
17,tft,1,306
18,random,1,393
19,defect,1,516
20,tft,1,302
21,defect,1,528
22,random,1,421
23,defect,1,524
24,random,1,409
25,tft,1,309
26,tft,1,292
27,tft,1,311
28,tft,1,302
29,tft,1,313
30,defect,1,518
31,random,1,402
32,random,1,390
33,tft,1,308
34,tft,1,302
35,coop,1,302
36,tft,1,318
37,tft,1,309
38,tft,1,319
39,tft,1,306
40,tft,1,312
41,coop,1,304
42,coop,1,329
43,tft,1,307
44,tft,1,314
45,coop,1,301
46,tft,1,299
47,tft,1,301
48,tft,1,297
49,tft,1,293
50,tft,1,301
51,random,1,425
52,random,1,412
53,tft,1,306
54,tft,1,294
55,random,1,405
56,tft,1,308
57,tft,1,309
58,coop,1,314
59,defect,1,520
60,random,1,394
61,tft,1,307
62,random,1,394
63,random,1,401
64,defect,1,514
65,tft,1,301
66,defect,1,508
67,random,1,424
68,tft,1,330
69,tft,1,326
70,random,1,414
71,tft,1,311
72,tft,1,294
73,random,1,406
74,tft,1,299
75,tft,1,326
76,coop,1,345
77,tft,1,329
78,tft,1,320
79,random,1,421
80,random,1,411
81,tft,1,309
82,tft,1,311
83,random,1,405
84,defect,1,513
85,coop,1,304
86,tft,1,290
87,tft,1,325
88,coop,1,322
89,coop,1,307
90,tft,1,325
91,tft,1,315
92,tft,1,315
93,coop,1,297
94,defect,1,498
95,tft,1,298
96,random,1,411
97,defect,1,512
98,tft,1,314
99,random,1,408
0,coop,2,320
1,defect,2,713
2,tft,2,346
3,random,2,551
4,tft,2,352
5,defect,2,672
6,coop,2,334
7,coop,2,343
8,random,2,569
9,tft,2,359
10,tft,2,354
11,tft,2,366
12,tft,2,371
13,tft,2,362
14,random,2,585
15,tft,2,354
16,defect,2,734
17,tft,2,356
18,random,2,579
19,defect,2,706
20,tft,2,352
21,defect,2,726
22,random,2,587
23,defect,2,718
24,random,2,591
25,tft,2,357
26,tft,2,326
27,tft,2,355
28,tft,2,338
29,tft,2,355
30,defect,2,748
31,random,2,630
32,random,2,568
33,tft,2,360
34,tft,2,328
35,coop,2,322
36,tft,2,368
37,tft,2,349
38,tft,2,359
39,tft,2,360
40,tft,2,360
41,coop,2,336
42,coop,2,361
43,tft,2,357
44,tft,2,370
45,coop,2,321
46,tft,2,341
47,tft,2,349
48,tft,2,347
49,tft,2,359
50,tft,2,347
51,random,2,589
52,random,2,572
53,tft,2,376
54,tft,2,350
55,random,2,587
56,tft,2,340
57,tft,2,381
58,coop,2,334
59,defect,2,712
60,random,2,570
61,tft,2,363
62,random,2,548
63,random,2,575
64,defect,2,710
65,tft,2,351
66,defect,2,698
67,random,2,590
68,tft,2,384
69,tft,2,380
