"","id","strategies","round","assets"
"1",0,"random",0,5
"2",1,"coop",0,4
"3",2,"tft",0,5
"4",3,"tft",0,18
"5",4,"random",0,20
"6",5,"defect",0,6
"7",6,"random",0,8
"8",7,"tft",0,7
"9",8,"coop",0,2
"10",9,"random",0,10
"11",10,"coop",0,6
"12",11,"defect",0,7
"13",12,"tft",0,8
"14",13,"random",0,8
"15",14,"defect",0,6
"16",15,"defect",0,7
"17",16,"random",0,6
"18",17,"coop",0,5
"19",18,"coop",0,2
"20",19,"random",0,5
"21",20,"defect",0,2
"22",21,"tft",0,10
"23",22,"tft",0,9
"24",23,"tft",0,5
"25",24,"random",0,32
"26",25,"random",0,12
"27",26,"tft",0,5
"28",27,"coop",0,28
"29",28,"tft",0,6
"30",29,"coop",0,8
"31",30,"random",0,8
"32",31,"tft",0,8
"33",32,"random",0,11
"34",33,"tft",0,5
"35",34,"coop",0,6
"36",35,"defect",0,3
"37",36,"defect",0,8
"38",37,"defect",0,5
"39",38,"random",0,5
"40",39,"random",0,4
"41",40,"tft",0,5
"42",41,"defect",0,2
"43",42,"defect",0,9
"44",43,"tft",0,9
"45",44,"defect",0,8
"46",45,"defect",0,8
"47",46,"random",0,7
"48",47,"defect",0,6
"49",48,"tft",0,8
"50",49,"defect",0,14
"51",50,"coop",0,15
"52",51,"defect",0,12
"53",52,"coop",0,10
"54",53,"tft",0,5
"55",54,"coop",0,6
"56",55,"coop",0,4
"57",56,"tft",0,21
"58",57,"random",0,20
"59",58,"defect",0,13
"60",59,"coop",0,7
"61",60,"tft",0,7
"62",61,"coop",0,5
"63",62,"random",0,6
"64",63,"coop",0,10
"65",64,"tft",0,8
"66",65,"defect",0,6
"67",66,"coop",0,19
"68",67,"tft",0,10
"69",68,"tft",0,4
"70",69,"defect",0,3
"71",70,"random",0,13
"72",71,"coop",0,6
"73",72,"tft",0,9
"74",73,"defect",0,9
"75",74,"random",0,10
"76",75,"random",0,7
"77",76,"random",0,4
"78",77,"coop",0,10
"79",78,"random",0,8
"80",79,"tft",0,3
"81",80,"tft",0,6
"82",81,"defect",0,17
"83",82,"defect",0,5
"84",83,"tft",0,22
"85",84,"defect",0,7
"86",85,"random",0,4
"87",86,"random",0,11
"88",87,"tft",0,4
"89",88,"defect",0,9
"90",89,"random",0,29
"91",90,"defect",0,6
"92",91,"random",0,8
"93",92,"tft",0,4
"94",93,"coop",0,7
"95",94,"tft",0,4
"96",95,"coop",0,9
"97",96,"random",0,31
"98",97,"defect",0,7
"99",98,"tft",0,4
"100",99,"random",0,7
"101",0,"random",1,341
"102",1,"coop",1,244
"103",2,"tft",1,229
"104",3,"tft",1,246
"105",4,"random",1,356
"106",5,"defect",1,460
"107",6,"random",1,336
"108",7,"tft",1,275
"109",8,"coop",1,250
"110",9,"random",1,340
"111",10,"coop",1,262
"112",11,"defect",1,453
"113",12,"tft",1,256
"114",13,"random",1,344
"115",14,"defect",1,452
"116",15,"defect",1,453
"117",16,"random",1,376
"118",17,"coop",1,237
"119",18,"coop",1,254
"120",19,"random",1,361
"121",20,"defect",1,456
"122",21,"tft",1,242
"123",22,"tft",1,257
"124",23,"tft",1,269
"125",24,"random",1,376
"126",25,"random",1,382
"127",26,"tft",1,249
"128",27,"coop",1,288
"129",28,"tft",1,246
"130",29,"coop",1,232
"131",30,"random",1,354
"132",31,"tft",1,236
"133",32,"random",1,347
"134",33,"tft",1,241
"135",34,"coop",1,258
"136",35,"defect",1,441
"137",36,"defect",1,454
"138",37,"defect",1,467
"139",38,"random",1,333
"140",39,"random",1,366
"141",40,"tft",1,245
"142",41,"defect",1,440
"143",42,"defect",1,455
"144",43,"tft",1,257
"145",44,"defect",1,442
"146",45,"defect",1,446
"147",46,"random",1,351
"148",47,"defect",1,452
"149",48,"tft",1,256
"150",49,"defect",1,476
"151",50,"coop",1,239
"152",51,"defect",1,466
"153",52,"coop",1,242
"154",53,"tft",1,253
"155",54,"coop",1,258
"156",55,"coop",1,244
"157",56,"tft",1,249
"158",57,"random",1,350
"159",58,"defect",1,443
"160",59,"coop",1,247
"161",60,"tft",1,255
"162",61,"coop",1,253
"163",62,"random",1,332
"164",63,"coop",1,226
"165",64,"tft",1,260
"166",65,"defect",1,456
"167",66,"coop",1,271
"168",67,"tft",1,262
"169",68,"tft",1,248
"170",69,"defect",1,445
"171",70,"random",1,365
"172",71,"coop",1,234
"173",72,"tft",1,237
"174",73,"defect",1,451
"175",74,"random",1,360
"176",75,"random",1,361
"177",76,"random",1,350
"178",77,"coop",1,262
"179",78,"random",1,334
"180",79,"tft",1,235
"181",80,"tft",1,234
"182",81,"defect",1,479
"183",82,"defect",1,447
"184",83,"tft",1,262
"185",84,"defect",1,441
"186",85,"random",1,338
"187",86,"random",1,337
"188",87,"tft",1,248
"189",88,"defect",1,459
"190",89,"random",1,371
"191",90,"defect",1,452
"192",91,"random",1,338
"193",92,"tft",1,232
"194",93,"coop",1,251
"195",94,"tft",1,244
"196",95,"coop",1,229
"197",96,"random",1,393
"198",97,"defect",1,449
"199",98,"tft",1,236
"200",99,"random",1,361
"201",0,"random",2,553
"202",1,"coop",2,280
"203",2,"tft",2,309
"204",3,"tft",2,304
"205",4,"random",2,542
"206",5,"defect",2,700
"207",6,"random",2,510
"208",7,"tft",2,351
"209",8,"coop",2,266
"210",9,"random",2,552
"211",10,"coop",2,306
"212",11,"defect",2,675
"213",12,"tft",2,340
"214",13,"random",2,540
"215",14,"defect",2,688
"216",15,"defect",2,667
"217",16,"random",2,594
"218",17,"coop",2,269
"219",18,"coop",2,302
"220",19,"random",2,563
"221",20,"defect",2,688
"222",21,"tft",2,314
"223",22,"tft",2,341
"224",23,"tft",2,343
"225",24,"random",2,584
"226",25,"random",2,566
"227",26,"tft",2,309
"228",27,"coop",2,320
"229",28,"tft",2,322
"230",29,"coop",2,252
"231",30,"random",2,546
"232",31,"tft",2,316
"233",32,"random",2,545
"234",33,"tft",2,329
"235",34,"coop",2,282
"236",35,"defect",2,697
"237",36,"defect",2,696
"238",37,"defect",2,711
"239",38,"random",2,515
"240",39,"random",2,554
"241",40,"tft",2,319
"242",41,"defect",2,654
"243",42,"defect",2,699
"244",43,"tft",2,327
"245",44,"defect",2,700
"246",45,"defect",2,676
"247",46,"random",2,555
"248",47,"defect",2,700
"249",48,"tft",2,340
"250",49,"defect",2,720
"251",50,"coop",2,287
"252",51,"defect",2,732
"253",52,"coop",2,282
"254",53,"tft",2,295
"255",54,"coop",2,278
"256",55,"coop",2,260
"257",56,"tft",2,307
"258",57,"random",2,566
"259",58,"defect",2,679
"260",59,"coop",2,263
"261",60,"tft",2,311
"262",61,"coop",2,281
"263",62,"random",2,518
"264",63,"coop",2,278
"265",64,"tft",2,342
"266",65,"defect",2,702
"267",66,"coop",2,299
"268",67,"tft",2,342
"269",68,"tft",2,316
"270",69,"defect",2,677
"271",70,"random",2,559
"272",71,"coop",2,254
"273",72,"tft",2,305
"274",73,"defect",2,729
"275",74,"random",2,534
"276",75,"random",2,559
"277",76,"random",2,554
"278",77,"coop",2,294
"279",78,"random",2,512
"280",79,"tft",2,299
"281",80,"tft",2,302
"282",81,"defect",2,705
"283",82,"defect",2,715
"284",83,"tft",2,310
"285",84,"defect",2,695
"286",85,"random",2,554
"287",86,"random",2,491
"288",87,"tft",2,306
"289",88,"defect",2,701
"290",89,"random",2,583
"291",90,"defect",2,680
"292",91,"random",2,528
"293",92,"tft",2,310
"294",93,"coop",2,291
"295",94,"tft",2,304
"296",95,"coop",2,249
"297",96,"random",2,571
"298",97,"defect",2,667
"299",98,"tft",2,310
"300",99,"random",2,533
"301",0,"random",3,675
"302",1,"coop",3,288
"303",2,"tft",3,351
"304",3,"tft",3,324
"305",4,"random",3,684
"306",5,"defect",3,912
"307",6,"random",3,618
"308",7,"tft",3,381
"309",8,"coop",3,278
"310",9,"random",3,698
"311",10,"coop",3,322
"312",11,"defect",3,875
"313",12,"tft",3,386
"314",13,"random",3,682
"315",14,"defect",3,868
"316",15,"defect",3,867
"317",16,"random",3,720
"318",17,"coop",3,293
"319",18,"coop",3,314
"320",19,"random",3,711
"321",20,"defect",3,880
"322",21,"tft",3,324
"323",22,"tft",3,375
"324",23,"tft",3,367
"325",24,"random",3,734
"326",25,"random",3,708
"327",26,"tft",3,349
"328",27,"coop",3,344
"329",28,"tft",3,356
"330",29,"coop",3,264
"331",30,"random",3,682
"332",31,"tft",3,352
"333",32,"random",3,663
"334",33,"tft",3,357
"335",34,"coop",3,298
"336",35,"defect",3,891
"337",36,"defect",3,900
"338",37,"defect",3,921
"339",38,"random",3,673
"340",39,"random",3,694
"341",40,"tft",3,343
"342",41,"defect",3,846
"343",42,"defect",3,883
"344",43,"tft",3,349
"345",44,"defect",3,894
"346",45,"defect",3,848
"347",46,"random",3,733
"348",47,"defect",3,874
"349",48,"tft",3,380
"350",49,"defect",3,926
"351",50,"coop",3,295
"352",51,"defect",3,940
"353",52,"coop",3,306
"354",53,"tft",3,317
"355",54,"coop",3,290
"356",55,"coop",3,268
"357",56,"tft",3,343
"358",57,"random",3,738
