id,strategies,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25
0,random,5,341,553,675,801,891,983,1081,1185,1267,1375,1463,1527,1599,1685,1759,1857,1931,2015,2093,2185,2269,2355,2425,2483,2545
1,coop,4,244,280,288,288,292,296,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
2,tft,5,229,309,351,379,399,411,411,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417
3,tft,18,246,304,324,340,346,348,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
4,random,20,356,542,684,802,922,1006,1094,1206,1304,1410,1516,1594,1692,1778,1878,1974,2054,2158,2252,2362,2466,2568,2648,2720,2818
5,defect,6,460,700,912,1108,1310,1472,1626,1794,1952,2102,2238,2396,2546,2668,2822,2974,3106,3250,3382,3496,3618,3744,3864,3972,4072
6,random,8,336,510,618,762,864,998,1098,1200,1290,1390,1480,1570,1634,1706,1800,1890,1974,2044,2140,2230,2300,2368,2442,2524,2598
7,tft,7,275,351,381,415,437,449,457,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459
8,coop,2,250,266,278,278,278,278,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282
9,random,10,340,552,698,840,962,1064,1154,1244,1334,1426,1520,1610,1702,1784,1886,1970,2044,2128,2212,2294,2366,2438,2546,2642,2712
10,coop,6,262,306,322,330,338,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342
11,defect,7,453,675,875,1049,1219,1373,1523,1673,1831,1987,2131,2267,2411,2533,2667,2795,2923,3037,3161,3297,3409,3541,3673,3785,3911
12,tft,8,256,340,386,414,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
13,random,8,344,540,682,790,918,1020,1094,1192,1270,1388,1452,1544,1642,1738,1828,1896,1988,2078,2160,2248,2358,2434,2514,2610,2690
14,defect,6,452,688,868,1038,1186,1338,1486,1638,1782,1942,2094,2240,2394,2530,2682,2838,2972,3122,3276,3414,3580,3730,3882,4010,4166
15,defect,7,453,667,867,1045,1217,1369,1519,1671,1819,1975,2111,2251,2377,2527,2649,2773,2909,3037,3177,3299,3437,3563,3701,3827,3947
16,random,6,376,594,720,828,930,1026,1100,1208,1306,1412,1498,1576,1662,1764,1858,1936,2034,2118,2210,2294,2364,2416,2440,2452,2454
17,coop,5,237,269,293,305,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309
18,coop,2,254,302,314,314,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318
19,random,5,361,563,711,843,965,1087,1189,1299,1385,1479,1571,1653,1745,1825,1913,1999,2061,2145,2235,2329,2439,2535,2639,2719,2819
20,defect,2,456,688,880,1048,1190,1316,1462,1590,1720,1834,1956,2068,2190,2316,2438,2564,2696,2816,2924,3026,3148,3268,3364,3474,3588
21,tft,10,242,314,324,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
22,tft,9,257,341,375,383,389,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
23,tft,5,269,343,367,377,385,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
24,random,32,376,584,734,856,968,1064,1172,1280,1368,1472,1552,1620,1688,1788,1860,1944,2040,2126,2208,2280,2348,2416,2500,2588,2652
25,random,12,382,566,708,804,906,998,1100,1158,1226,1296,1358,1426,1490,1548,1608,1668,1728,1810,1868,1934,1994,2072,2134,2196,2248
26,tft,5,249,309,349,367,371,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373
27,coop,28,288,320,344,356,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
28,tft,6,246,322,356,362,366,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
29,coop,8,232,252,264,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
30,random,8,354,546,682,800,906,1006,1092,1180,1254,1346,1434,1542,1640,1762,1840,1916,1994,2070,2152,2224,2296,2374,2432,2500,2578
31,tft,8,236,316,352,366,374,380,384,386,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
32,random,11,347,545,663,755,835,943,1035,1125,1207,1283,1365,1459,1531,1621,1703,1793,1881,1951,2055,2135,2205,2261,2329,2403,2479
33,tft,5,241,329,357,369,375,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377
34,coop,6,258,282,298,302,310,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314
