id,strategies,assets
0,tft,"[1, 237, 289, 319, 341, 341, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347, 347]"
1,coop,"[1, 265, 289, 313, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317]"
2,coop,"[2, 242, 262, 278, 282, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286]"
3,random,"[411, 749, 919, 1059, 1183, 1275, 1377, 1479, 1557, 1619, 1679, 1767, 1843, 1905, 1981, 2071, 2163, 2227, 2293, 2367, 2439, 2503, 2569, 2635, 2697, 2763]"
4,defect,"[590, 1024, 1244, 1436, 1606, 1768, 1910, 2060, 2204, 2338, 2462, 2594, 2710, 2842, 2966, 3102, 3234, 3360, 3468, 3578, 3700, 3816, 3924, 4040, 4160, 4284]"
5,random,"[3, 349, 511, 639, 743, 833, 925, 1009, 1097, 1161, 1245, 1321, 1389, 1461, 1543, 1613, 1689, 1767, 1833, 1913, 1971, 2043, 2107, 2177, 2223, 2303]"
6,random,"[12, 390, 600, 768, 912, 1032, 1134, 1210, 1288, 1372, 1466, 1550, 1620, 1702, 1776, 1872, 1938, 2000, 2070, 2150, 2230, 2314, 2368, 2442, 2506, 2562]"
7,coop,"[8, 240, 268, 280, 284, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288, 288]"
8,coop,"[0, 244, 252, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]"
9,random,"[28, 358, 502, 612, 724, 800, 876, 962, 1026, 1102, 1194, 1272, 1336, 1416, 1498, 1560, 1620, 1696, 1784, 1864, 1924, 2004, 2078, 2136, 2204, 2270]"
